"","B.cells.naive","B.cells.memory","Plasma.cells","T.cells.CD8","T.cells.CD4.naive","T.cells.CD4.memory.resting","T.cells.CD4.memory.activated","T.cells.follicular.helper","T.cells.regulatory..Tregs.","T.cells.gamma.delta","NK.cells.resting","NK.cells.activated","Monocytes","Macrophages.M0","Macrophages.M1","Macrophages.M2","Dendritic.cells.resting","Dendritic.cells.activated","Mast.cells.resting","Mast.cells.activated","Eosinophils","Neutrophils","Fibroblasts","Endothelial.cells","Epithelial.cells"
"SU2CLC.DFC.1007",0.00502003549307079,0.00201381118779065,0.0215323932861065,0.0143089006010053,0,0.0293757952262347,0,0.0101122896948415,0.00805642149040775,0,2.863048700955e-05,0.00333877348878624,0.0112683683320463,0.0506187670773655,0.0324700950218531,0.0817429328583989,0.00291396099683709,0,0,0.01894015715977,0,0.00713302899170278,0.472213985486291,0.0458609813958535,0.183050671724628
"SU2CLC.DFC.1012",0.00834842473429584,0,0.0220357164916381,0.0249178070935735,0,0.0371430621633978,0.00451936764697515,0.0135250597653937,0,0.0109991872159648,0,0.0142397980963576,0.0240491634181961,0.0342631167871929,0.00589575026370482,0.0760434710127728,0.0174367807208897,0.0140883083375968,0.00183161790240083,0.0209474929818668,0.0139778756794054,0.00750754581158241,0.203601761197735,0.0977179658263466,0.346910726852713
"SU2CLC.DFC.1013",0.00600459356131449,0.00289585211050235,0.0114891399691238,0.0124163220120443,0,0.0240739496234757,0.00931628470904586,0.030117524281367,0,0.00108882973235082,0,0.0301070698040048,0.0145381719278729,0.0598562880444556,0.00978643844574908,0.0386376896152656,0.00838878113022684,0.0150756554324435,0,0.0480145407888507,0.0115219729269084,0.0190510355757692,0.109400999076583,0.00664835051210846,0.531570510720537
"SU2CLC.DFC.1015",0.0189688491213257,0.0162566215291557,0.0451338486003788,0.0603913296227543,0,0.0524979775042867,0,0.0218458786770522,0,0,0,0.016958746341575,0.0169194114148404,0.0501849293846946,0.00351300989076268,0.101715779170664,0.0164560124199363,0.00760078267864758,0.0399429091164789,0.0152461727082043,0.00414567108637358,0.00523462148456008,0.186718923170754,0.0606986924737049,0.25956983360385
"SU2CLC.DFC.1016",0.0103943749821397,0.0119656486966419,0.0394595402981839,0.0321927464883255,0,0.0241058777781668,0.0267086402878921,0.0397078036378955,0.0103381814209215,0.0110010606249586,0,0.0336901998029911,0,0.0372281256881648,0.0586615571551838,0.108871171056668,0.0224863450552495,0,0,0.024111986696364,0,0.00094517392474047,0.375408986678526,0.0159564392662346,0.116766140460753
"SU2CLC.DFC.1017",0.0317583872261872,0,0.0640406612455022,0.00840307721919194,0,0.0414590553576565,0.00676178275791697,0.0229844289592927,0.00879278179082711,0.0121174870817448,0,0.0084478373162195,0.00951290823063638,0.126312101344395,0.0221204073317826,0.132594476412278,0.00210916396808087,0,0,0.0645795891750963,0.00885721101424567,0.00397638437529426,0.0487706764446022,0.00708574205986741,0.369315840689182
"SU2CLC.DFC.1018",0.00582301166891409,0.00793962813560833,0.00214048583239962,0.00792125890030415,0,0.00699553954143852,0.00211872868723369,0.0114280985064601,0.0013324566999896,0,0.00727728843727652,0.0010883730877838,0.00018482336158771,0.0718679094056009,0.004644454161512,0.0680716799870812,0.00355270865364382,0,0,0.0105873297485096,0.00189134046596512,0.00043754436348725,0.477933429247249,0,0.306763911107955
"SU2CLC.DFC.1019",0.0150250314860476,0.00852636652477497,0.0376201132242788,0.0521766548689913,0.00971317093282649,0.0569889666565828,0.0143472248717034,0.0224606144051211,0,0,0,0.0222717450816263,0.028551708399319,0.0327332020292256,0.00393804256553054,0.0549836293912223,0.0328446734884155,0.0224691837846851,0.026335949512878,0.00826287437534088,0.0111784785068874,0.0113757564610252,0.125242093684628,0.0866540065103361,0.316300513238554
"SU2CLC.DFC.1020",0.012099004049784,0.00321902500733332,0.0678995454404778,0.0380742556762575,0,0.0570703396913635,0,0.0299211660406729,0.00271562345056777,0,0.00516056964883068,0.0137996776872019,0.00812565137468181,0.0602598261283461,0.0197545819844529,0.0644052130531671,0.00984860987809011,0,0.0139072106919636,0.00517442482237915,0,0,0.287849930212845,0.0179491404440775,0.282766204717508
"SU2CLC.DFC.1534",0.00127097206880092,0.00347787113758141,0.0012777724817236,0.00870470061505276,0,0.0170192714049213,0.00324336508320731,0.0102456890568689,0.00600450541945038,0.00232534400087016,0,0.0104309535125808,0.0299679954718008,0.0382251731646425,0.00613595717562028,0.0997904778710745,0.00083557040846266,0,0,0.0115652479435952,0.00062388254634969,0.00597187962884552,0.726770352022993,0.0161130189855583,0
"SU2CLC.DFC.1535",0.00219567177519158,0.00129109530642032,0.00299801094769638,0.00748380253684695,0.00171962596018486,0.0161595460610554,0.00179363225728802,0.0143836213949056,0,0,0.0129222299105961,0.00591745488620949,0.00045315804116795,0.0482226852304749,0.00542307478471456,0.0418864822847921,0,0,0,0.0153220074410297,0.00038669483911264,0.0159602968177963,0.439790201598773,0.016056814176455,0.349633893749289
"SU2CLC.DFC.1536",0.0129113907178385,0.00433479996702433,0.070051074364091,0.0156397364811337,0,0.0446757258465273,0,0.0291881698472699,0.00831276386525032,0.00064366963488396,0.00118216096572191,0.00649919155025851,0,0.0610760771392444,0.0173847847080495,0.0689269327125078,0,0.00184545450651609,0,0.0283240737264051,0,0.0217154422916987,0.388137406001082,0,0.219151145674497
