"","SU2CLC.CLE.NIVO10","SU2CLC.CLE.NIVO18","SU2CLC.CLE.NIVO19","SU2CLC.CLE.NIVO2","SU2CLC.CLE.NIVO20","SU2CLC.CLE.NIVO24","SU2CLC.CLE.NIVO3","SU2CLC.CLE.NIVO31","SU2CLC.CLE.NIVO5","SU2CLC.CLE.NIVO52","SU2CLC.CLE.NIVO9","SU2CLC.COL.1001","SU2CLC.COL.1005","SU2CLC.COL.1007","SU2CLC.COL.1008","SU2CLC.COL.1010","SU2CLC.COL.1016","SU2CLC.COL.1017","SU2CLC.COL.1018","SU2CLC.COL.1020","SU2CLC.COL.1021","SU2CLC.COL.1022","SU2CLC.COL.1023","SU2CLC.COL.1025","SU2CLC.COL.1026","SU2CLC.COL.1027","SU2CLC.COL.1029","SU2CLC.COL.1031","SU2CLC.COL.1032","SU2CLC.COL.1033","SU2CLC.COL.1034","SU2CLC.COL.1035","SU2CLC.COL.1036","SU2CLC.COL.1037","SU2CLC.COL.1038","SU2CLC.COL.1039","SU2CLC.COL.1041","SU2CLC.COL.1043","SU2CLC.COL.1044","SU2CLC.DFC.1001","SU2CLC.DFC.1002","SU2CLC.DFC.1003","SU2CLC.DFC.1004","SU2CLC.DFC.1007","SU2CLC.DFC.1012","SU2CLC.DFC.1013","SU2CLC.DFC.1015","SU2CLC.DFC.1016","SU2CLC.DFC.1017","SU2CLC.DFC.1018","SU2CLC.DFC.1019","SU2CLC.DFC.1020","SU2CLC.DFC.1534","SU2CLC.DFC.1535","SU2CLC.DFC.1536","SU2CLC.DFC.1537","SU2CLC.DFC.1538","SU2CLC.DFC.1539","SU2CLC.DFC.DF0032","SU2CLC.DFC.DF0033","SU2CLC.DFC.DF0047","SU2CLC.DFC.DF0107","SU2CLC.DFC.DF0108","SU2CLC.DFC.DF0109","SU2CLC.DFC.DF0112","SU2CLC.DFC.DF0241","SU2CLC.DFC.DF0499","SU2CLC.DFC.DF0510","SU2CLC.DFC.DF0512","SU2CLC.DFC.DF0561","SU2CLC.DFC.DF0668","SU2CLC.DFC.DF0790","SU2CLC.DFC.DF0840","SU2CLC.MDA.1441","SU2CLC.MDA.1442","SU2CLC.MDA.1443","SU2CLC.MDA.1444","SU2CLC.MDA.1561","SU2CLC.MDA.1562","SU2CLC.MDA.1563","SU2CLC.MDA.1564","SU2CLC.MDA.1627","SU2CLC.MDA.1628","SU2CLC.MDA.1629","SU2CLC.MDA.1630","SU2CLC.MDA.1631","SU2CLC.MGH.1044","SU2CLC.MGH.1054","SU2CLC.MGH.1055","SU2CLC.MGH.1135","SU2CLC.MGH.1148","SU2CLC.MGH.1149","SU2CLC.MGH.1150","SU2CLC.MGH.1161","SU2CLC.MGH.1163","SU2CLC.MGH.1169","SU2CLC.MGH.1387","SU2CLC.MGH.1389","SU2CLC.MGH.1409","SU2CLC.MGH.1411","SU2CLC.MGH.1412","SU2CLC.MGH.1413","SU2CLC.MGH.1414","SU2CLC.MGH.1415","SU2CLC.MGH.1416","SU2CLC.MGH.1417","SU2CLC.MGH.1418","SU2CLC.MGH.1487","SU2CLC.MGH.1488","SU2CLC.MGH.1489","SU2CLC.MGH.1490","SU2CLC.MGH.1492","SU2CLC.MGH.1493","SU2CLC.MGH.1495","SU2CLC.MGH.1498","SU2CLC.MGH.1500","SU2CLC.MGH.1501","SU2CLC.MGH.1503","SU2CLC.MGH.1565","SU2CLC.MGH.1568","SU2CLC.MGH.1572","SU2CLC.MGH.1574","SU2CLC.MGH.1575","SU2CLC.MSK.1364","SU2CLC.MSK.1365","SU2CLC.MSK.A2009","SU2CLC.MSK.A2013","SU2CLC.MSK.A2014","SU2CLC.MSK.A2060","SU2CLC.MSK.A2075","SU2CLC.UCD.1124","SU2CLC.UCD.1137","SU2CLC.UCD.1142","SU2CLC.UCD.1143","SU2CLC.UCD.1557","SU2CLC.UCD.1560"
"B cell",0.0269585552524607,0.117408515479237,0.0779209147970231,0.100883468677002,0.106270416315418,0.111177699194098,0.072935218633401,0.237100514434049,0.0908374450389538,0.0707068825275826,0.0695293753313225,0.0928924832002305,0.0607979362596947,0.0512466639824993,0.249604696328922,0.0911049606905154,0.00478320691812632,0.0877099536744754,0.102652177162961,0.114603481562328,0.0687667249161289,0.115853965612067,0.153404351270869,0,0.170697815513785,0.153048444444486,0.141464079929908,0.243243209390802,0.0972072800701172,0.0998362687598039,0.0399823612459708,0.122323675462125,0.134604339640431,0.199052032658983,0.0692068575599735,0.0519275061925158,0.0652196102434157,0.132931464789058,0.15510851958199,0.106084113909093,0.0717191905320983,0.0916737109091772,0.0602413303060464,0.0356117615981613,0.0363092066515443,0.0250430510180188,0.0745877856607132,0.10592464790868,0.067883574346879,0.0492780297693537,0.0440438927409121,0.107072961486388,0.0623144618912869,0.0404166600459751,0.0855216902271451,0.0893288430794755,0.0585933420702913,0.0719752844389612,0.0847201497644567,0.111458532600506,0.358314774636409,0.0685589758914012,0.541163062042289,0.0424050030660292,0.061324172957668,0.0746978778007849,0.0815434385600287,0.0531605800597548,0.146043173339899,0.0417991648860434,0.0492790140857202,0.153915846766432,0.084121829155083,0.0197657477827857,0.0662450426913599,0.0601690495943231,0.0292448976336542,0.0451461428415864,0.0465603118322719,0.0145702837073628,0.0877332477907734,0.108845994135724,0.102289917129919,0.0587912057605839,0.128777010442506,0.0605115935830139,0.0763499822827891,0,0.149821339235754,0.0597878513513879,0.0135279931068067,0.124749603247118,0.0696581316308982,0.140334325504027,0.046357216216895,0.103896637781673,0.0942996956388283,0.0480364309792683,0.101575290623052,0.00814810457017671,0.22897400821407,0.0400065199802943,0.0873259909718822,0.0762561846205592,0.1208866092113,0.0658475367751826,0.043790111876477,0.122793166414195,0.0650467602378079,0.0438042684920129,0.12045267596744,0.0484480988646362,0.409540945436796,0.108168476344398,0.0538402506409712,0.0518141589376063,0.142174461196575,0.031436420664979,0.036734683515901,0.141347289808305,0.0434406997856895,0.444589598057673,0.0913943674442538,0.0735877997951992,0.0556038032039473,0.0429303609061151,0.0935163557807828,0.0642907138988508,0.0855375949751336,0.0780076478212858,0.0608856044201138,0.220606575473718,0.160381550166788,0.0898890819059844,0.104205024609347,0.179114314768575
"T cell CD4+",0.0452787140169293,0.0826041648837877,0.11848449254639,0.141092481078936,0.134245576046598,0.0989130872711977,0.104229891564182,0,0.11121235726068,0.161177212200125,0.0999981785431805,0.098357843216503,0.0341356388825929,0.066404946018022,0.287591568502997,0.0675556288591577,0.122266843894545,0.0926715699797156,0.0643131110511652,0.0776542572277307,0.12707478046143,0.0877670116000679,0.193112663342897,0.0839677836215829,0.06999451018079,0.210787749214221,0.0271174832463337,0.0780579876978177,0.0687502027361956,0.103149967650627,0.0943788309598173,0.307373538715815,0.13477814330312,0.187737507098495,0.153078062864157,0.10373910018242,0.119879525134532,0.217087580540922,0.100553502356205,0.0838036877930041,0.123090931510014,0.140387674814082,0.12484467847714,0.108800243334962,0.100979838595121,0.0874462366403646,0.148428703406861,0.114095895618549,0.0886925713682008,0.0861201047779186,0.160747160674266,0.173565261748568,0.117582169349,0.0739694441454207,0.137797344154131,0.118446278682371,0.0943694353826539,0.0917524640995796,0.201783439599268,0.100344931086505,0.616109366570511,0.107120199914707,0.450580359381798,0.116455208616449,0.0801136434685861,0.600772185844878,0.113892200881442,0.124405217693679,0.0933938593002114,0.0778620612733303,0.101546764339497,0.15488409570617,0.134108523974928,0.145547333832029,0.096629179196107,0.0946995371748395,0.0915404370932037,0.110784084866408,0.0931101302465088,0.112988262580825,0.208531051798589,0.119756074737395,0.130240826015325,0.0959102997175056,0.107196292930549,0.108728879752152,0.0986097044155597,0.154385545529081,0.0864652808984643,0.0890423084484273,0.0634800103220306,0.110930895109974,0.0722555144412138,0.104447361115032,0.0789586073250068,0.120613088134517,0.104975829349838,0.130420938147538,0.114046841145505,0.0959377533350885,0.0506998222596754,0.128528965523443,0.103316356641766,0.209072479612033,0.116362985920364,0.0848245350271101,0.0716101820511704,0.196527266666481,0.155727832884164,0.0925169759866274,0.162495849704217,0.0624670235015885,0.14528858854061,0.131975993217448,0.108501424712202,0.171277517182416,0.0604983171868079,0.155314961160742,0.058928131387913,0.125598217924473,0.119332920584556,0.385463910130007,0.0848928878226411,0.0802780677649043,0.0700188229764112,0.0521834988884126,0.15002897209877,0.071617663880937,0.0911727544484306,0.110590291767941,0.120973297019174,0.186660696807506,0.0735186976021314,0.0983127950153477,0.125261967724785,0.443704667775244
"T cell CD8+",0.161565755984684,0.178036126981859,0.195866876716726,0.19674727789322,0.326432620048856,0.204637354118809,0.172451118209013,0.345963491076288,0.187485457398388,0.247586691714733,0.153060957587603,0.205275171786487,0.685289977471964,0.23459860591548,0.133779071230684,0.16430574130952,0.193227353951914,0.203850527729739,0.338670002675352,0.201346180862124,0.175916017423117,0.156358546092244,0.224618479159352,0.176508625621574,0.136052800404265,0.342003031863413,0.260682163822289,0.27322091123946,0.164790121225906,0.176253697795106,0.191348476417268,0.166393560408969,0.174161236360881,0.279356395901728,0.269170851377797,0.244500925326451,0.18697523778332,0.31188148550971,0.341456521609484,0.206222459502086,0.164191458504944,0.112339040352219,0.198774083993229,0.156613892698143,0.241479622879392,0.21387031374393,0.183215507051626,0.184036954765391,0.130439487443284,0.12734954834246,0.290094844384673,0.097428166091906,0.148110953325786,0.154601732641918,0.150613698894838,0.246165069439935,0.226323701092024,0.136974129542732,0.189884806389545,0.17828485807122,0.0583171103161755,0.161820276887944,0.0462262319279073,0.144652360894572,0.129669706738068,0.0818143253511929,0.177023615769101,0.100185397280765,0.233627294289785,0.203405546007656,0.151527846336906,0.183202260155102,0.204400830400434,0.158918487243534,0.115371801672125,0.130259057815977,0.139256760839174,0.133147417663989,0.132985422033944,0.170842843974116,0.392333832324717,0.246962363854293,0.222253041355273,0.139751840325054,0.197020917289619,0.157915230296297,0.168360047897635,0.295091164489366,0.195394544321254,0.15153791003791,0.195270752582218,0.223391386384224,0.152259662588163,0.252895026020628,0.139840428765582,0.173929061533789,0.185617953778241,0.186538212745166,0.225710939458414,0.229086107924091,0.282189315471242,0.193984101994927,0.22334426274181,0.325110248010428,0.219873792239025,0.148134539439229,0.201326998764189,0.159139149479853,0.174072594303906,0.160984688063311,0.188666806429041,0.306036094053503,0.228074288231881,0.194512918768064,0.170398731281262,0.193065686520003,0.206333778841145,0.214977163353466,0.166465655067413,0.149848164131857,0.188777321766143,0.0996544678063377,0.161016026391391,0.155117871855071,0.158490548291002,0.121734950401745,0.156711092077438,0.121082233930966,0.196480113065306,0.182593957820071,0.119054576169369,0.284741594980144,0.212253352752799,0.264635538825795,0.106833389605319,0.0614396736929753
"Neutrophil",0.0967944283688643,0.0967868776714094,0.14010140822741,0.132303237067387,0.156588826885465,0.144289436928301,0.106507237188488,0.0867682852457671,0.108736783291909,0.156356135698941,0.106604286845129,0.132870124065973,0.209705697661774,0.110083303988376,0.125748755070959,0.104403678907373,0.0921641876479295,0.0978126235689388,0.148028507093759,0.145135658094675,0.149582462552676,0.0819301349883505,0.129658460920199,0.0684781054484573,0.12386516682145,0.145203751029821,0.131477065407162,0.137482196253415,0.0997899746250347,0.0886714590851199,0.103578389940807,0.124572985104368,0.120993794817529,0.171819876149157,0.151869390543395,0.148949720349684,0.0964557103802422,0.150008501336289,0.171938751930751,0.10288854737692,0.0923974184787972,0.0900350894894646,0.130219436248314,0.10179212129469,0.135258434381916,0.146683050807941,0.122674979297555,0.138812596836546,0.0989561647234945,0.0891963899505104,0.158373228623518,0.13491078930438,0.107870326567049,0.103756257531837,0.139538103131584,0.127748927185344,0.127566464744643,0.10748140203297,0.156107821013873,0.0928116040710134,0.110985982430733,0.116502075189167,0.127448585370503,0.0881431821263599,0.0922324773772079,0.132403585423903,0.169807377605769,0.199775947625266,0.149266328291688,0.351272541466136,0.163788865881722,0.211651757491552,0.121930332893261,0.0954900103544168,0.104101912361826,0.0892269292479021,0.0823418618284855,0.106713388151703,0.0841998107283298,0.0813940431795335,0.280977924557695,0.112549753258093,0.136819647888557,0.124114267036819,0.124083625666517,0.0832399869315557,0.100621172274572,0.0659915666813331,0.0996383854145404,0.119126490887181,0.19724625463103,0.111138155107155,0.0949367925053544,0.153248618280776,0.0921928716763686,0.136632736918917,0.121776869978933,0.118965478183438,0.132455973126179,0.135435897209492,0.0971966017046249,0.103618743808168,0.117315651930608,0.174743878905862,0.131896101014726,0.0830770631480488,0.0876957086515809,0.151471642625876,0.145662844116561,0.116774735930681,0.126569037755361,0.167544211885648,0.137970799471557,0.104176532102434,0.118770024918417,0.214398995872303,0.106161892601466,0.132208212850898,0.102001827264939,0.120784542907974,0.109360638233224,0.117143214299637,0.114944696435797,0.0875338865960908,0.0871708329301473,0.067276630239191,0.102047571436297,0.0743414647571687,0.112676410205636,0.129908013450908,0.106435411593623,0.135939114023071,0.106655773039612,0.13991542113345,0.101262653865015,0.104726126246036
"Macrophage",0.0286960253486191,0.0349574151414582,0.0272021704835823,0.0556577184545344,0,0.0257813568592333,0.0270497685040153,0.106172422571852,0.0336785501717815,0.157609090220766,0.0888618597047784,0.0613587264429575,0.1017821177957,0.0264542079384464,0.0109498255646205,0.0290599797028852,0.00474961483938902,0.0405997991225331,0.134524422292247,0.0782233908630458,0.124711495497407,0.081672683659604,0.0826354064998705,0,0.0621727648021732,0.181779345502399,0.0413932642174915,0.0668174115224103,0.0369643856558511,0.0447795599251982,0.0524509558697823,0.0701670621739653,0.0251691545386168,0.00184109326712606,0.0768008491639481,0.0458462490825851,0.0314279722775042,0.0567196885228928,0.00667919488252113,0.0661982668801852,0.0227299041297452,0.0253934569293,0.0952887847218139,0.0885772876850288,0.0607171786938106,0,0.0883916925797405,0.0461268841139417,0.0486137227609511,0.0594732380378995,0.0838256452122318,0.0276331461057677,0.128020459048797,0.0308221028562346,0.0529214107924272,0.0836695721243727,0.0874745927456999,0.06686098160012,0.0543642669957229,0.0478681046697414,0.0205436935352395,0.070998745536859,0,0.0432627931085337,0.0261003048096757,0.120376450163048,0.0422818314086743,0.410494376890515,0.0454148001543428,0.0248522716205424,0.0699236918276881,0.0677725000945137,0.0407708091397832,0.0622860551584821,0.0512304490078276,0.0225584903658838,0.0390847621859708,0.207186585678853,0.063333354981536,0.0404861063669797,0.167543333243708,0.0382746919039971,0.0929167320851543,0.132231628062022,0.045873961596969,0.0332137869673457,0.063201534843975,0.00762108876501677,0.146721247279621,0,0.00545022603279039,0.0687932384964245,0.036759697015297,0.0134826576399716,0.0202620634046769,0.206458425469356,0.0582365525514766,0.00335907066518195,0.0890882242665209,0.0810715481240361,0.0538575850638057,0.102475044967589,0.0224112587381221,0.110383007924793,0.125840232534044,0.0221877224913302,0.00153764747134134,0.0180807323179329,0.0876394101490181,0.0511193025841037,0.0398620444916026,0.10023544539264,0.0332373154719862,0.0390229869524574,0.0708947549747736,0.0018619308638957,0.0461802619909666,0.0544506370904545,0.0194323132271531,0.0513831121205294,0.0658285117446219,0.015412289947408,0.0574218618365801,0.0380336505694002,0.0531420479168918,0,0.0558380774202629,0.0268170240450009,0.0205515568053679,0.0773818067720026,0.0892810645689028,0.0568287580528359,0.0740340761022651,0.0598047012952596,0.038603616303233,0
"Myeloid dendritic cell",0.362121799250273,0.44764442698679,0.508699722900997,0.454072320520413,0.542508885026515,0.449510011465407,0.397891644418874,0.465528061012286,0.433862916936495,0.386430950252776,0.484573381315657,0.491671104272254,0.647340040997852,0.456884059218493,0.443711693189298,0.404152374501036,0.49134077377326,0.448511604753262,0.45888071321971,0.463829293666366,0.521983659314591,0.558122070483932,0.534174679625918,0.527383867152331,0.663546777105896,0.674951217491597,0.555777938496622,0.53157719968601,0.489080355142364,0.496238274783588,0.449739966055485,0.406292321420118,0.590078467604083,0.602691243935399,0.453203488361659,0.540892695818796,0.475185586792615,0.591868585071237,0.758623713694716,0.499003922366963,0.471238957735509,0.459704531360077,0.481405068914334,0.470307646050825,0.46498864656883,0.552992636321873,0.499646295268689,0.518166203870422,0.480974709067759,0.373018506127565,0.50734234608671,0.486069678178913,0.510235373810441,0.39572326487983,0.476035912451403,0.522596307267105,0.49363416987707,0.395781214853723,0.527834279269481,0.506553681455641,0.56239271169601,0.39567708108056,0.579793687353702,0.431456212236444,0.382941272239923,0.492548681619796,0.50872799076506,0.607148811202528,0.668117902767169,0.491747681037748,0.36123808074806,0.686453364361763,0.517225885039066,0.461479327485781,0.424175900469002,0.391414490701641,0.416975260124942,0.48018569904188,0.349990698855392,0.443953060316307,0.522423602489807,0.431276494146539,0.461614721690707,0.409589538134148,0.448478253772224,0.37717541087455,0.473631812436613,0.68014140461037,0.381319152240837,0.609316492199137,0.471630794945336,0.544292084318217,0.400484261223279,0.546667157439247,0.640745820109947,0.561072327989419,0.50756382944215,0.492960500085511,0.509066668515403,0.489997520804859,0.624234987823897,0.469445772423279,0.45641863255945,0.624513503088688,0.560859126325056,0.385535766217585,0.55310675394973,0.494478470471751,0.545039230746562,0.412610701062072,0.55404133247439,0.567315845418085,0.553078660923165,0.405689521488782,0.426034209000848,0.527122130998485,0.627102479713769,0.564648369368573,0.413983653725003,0.51177885701505,0.538083492405416,0.493591851281672,0.484281424146287,0.459074369279649,0.41779495184741,0.323030997068964,0.419051119315659,0.395644494331486,0.464602990378036,0.46253108444889,0.467124246551119,0.508036812963908,0.676614536342283,0.557739968855752,0.43382133243734,0.373538158500077
