"","beta","p","AIC","AUC"
"T_Inflamed",0.590739081401632,0.21628259245837,51.8677079394558,0.602564102564102
"Stabl_top10",0.289458631739781,0.605411563206125,53.3157701697467,0.461538461538462
"Stabl_top15",0.674182838977298,0.398010355416769,52.8430417596645,0.430769230769231
"Stabl_top20",0.816439784797516,0.355144954540848,52.6759475540873,0.417948717948718
"Stabl_top25",0.702675914217492,0.418630442851341,52.8962703137689,0.443589743589744
"Stabl_top30",0.539477060444611,0.53707854704268,53.1929094455231,0.476923076923077
