"","beta","p","AIC","AUC"
"Stabl_top10",0.106149474296523,0.74342847011541,53.4811854901143,0.505128205128205
"Stabl_top15",0.0597887780626851,0.839522852479424,53.5477234947263,0.515384615384615
"Stabl_top20",0.071250122890293,0.811033552300018,53.5313948804079,0.515384615384615
"Stabl_top25",0.119313081577193,0.693242562095235,53.4313132325135,0.548717948717949
"Stabl_top30",0.192527975173887,0.533958366179864,53.1894773188056,0.556410256410256
