"v1","v2","b1","b2","p1","p2","AIC","AUC"
"T_Inflamed","Stabl_top10",0.985376400539954,-2.10997826453947,0.0128329534469535,3.0059240139647e-05,159.207176422657,0.762362637362637
"T_Inflamed","Stabl_top15",1.26298297030603,-2.83373077070708,0.00118567244756654,7.80975465650475e-06,154.055858900385,0.783424908424908
"T_Inflamed","Stabl_top20",1.41856373617739,-3.08741433211412,0.000464659881797404,4.21795453029442e-06,151.805046391264,0.781593406593407
"T_Inflamed","Stabl_top25",1.50485731854223,-3.26234274935737,0.000289719486816652,7.84886335058714e-06,151.625176220359,0.784340659340659
"T_Inflamed","Stabl_top30",1.49447627832833,-3.33262388803905,0.000363021622018156,7.48729193597124e-06,151.600801080001,0.777701465201465
