"","beta","p","AIC","AUC"
"T_Inflamed",2.03924388757732,0.00417318990717968,43.7037172286841,0.840909090909091
"Stabl_top10",-0.646851838756502,0.274722524467432,54.9533124953748,0.565656565656566
"Stabl_top15",-1.69977089630313,0.0648434571811008,52.1474761502682,0.666666666666667
"Stabl_top20",-1.49822996543473,0.10219676356428,53.1779397729289,0.618686868686869
"Stabl_top25",-0.996377174547896,0.247027842802025,54.7749535424456,0.595959595959596
"Stabl_top30",-0.857089673044694,0.290678190192628,55.0130916473832,0.573232323232323
