"","beta","p","AIC","AUC"
"T_Inflamed",1.79697133766381,3.40633445890679e-05,79.0702145771794,0.821212121212121
"Stabl_top10",0.674128992241259,0.141822093068996,102.280175363346,0.378030303030303
"Stabl_top15",0.540519873911031,0.292874924086048,103.399883011129,0.427272727272727
"Stabl_top20",0.547883577938399,0.324050653857683,103.536259917576,0.421212121212121
"Stabl_top25",0.728792915395377,0.208574132185285,102.892994506237,0.403787878787879
"Stabl_top30",0.756651667597161,0.209844430742034,102.90308992467,0.412121212121212
