"","beta","p","AIC","AUC"
"Stabl_top10",0.56569813380385,0.103885736168922,37.9590160581222,0.688888888888889
"Stabl_top15",0.521434629264529,0.0900458788625166,37.3849855982199,0.694444444444444
"Stabl_top20",0.409527592344662,0.162164867692824,38.7673279469496,0.661111111111111
"Stabl_top25",0.377869752516591,0.174271195885727,38.9545716450499,0.677777777777778
"Stabl_top30",0.421768262621781,0.1249568645297,38.2959037349639,0.688888888888889
