"","beta","p","AIC","AUC"
"T_Inflamed",0.00265212658572179,0.995418246698936,41.0958921621951,0.472222222222222
"Stabl_top10",-1.48035244271009,0.0819623774394041,37.2977226614883,0.705555555555556
"Stabl_top15",-1.90104565866726,0.066872784051365,36.4811995089712,0.733333333333333
"Stabl_top20",-1.63532473727025,0.143368104131815,38.2348777776973,0.65
"Stabl_top25",-1.63983437508744,0.136837571569803,38.3402873001338,0.688888888888889
"Stabl_top30",-2.08079180086484,0.0855182956776489,37.1580537122926,0.727777777777778
