"","beta","p","AIC","AUC"
"T_Inflamed",2.04052552252152,0.0421879218221692,30.3787370308226,0.796052631578947
"Stabl_top10",0.0912064982518805,0.910298069022905,36.8027267116197,0.5
"Stabl_top15",-0.594984928897435,0.554011426897325,36.4630292498068,0.585526315789474
"Stabl_top20",-0.729735956003476,0.502730608510392,36.3593359297873,0.592105263157895
"Stabl_top25",-0.463072904040119,0.680688959805693,36.6451114550838,0.572368421052632
"Stabl_top30",-0.594173451584558,0.607409505708212,36.5495628362453,0.572368421052632
